,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
117,Manvinder Bisla,2,21.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0
118,Hanuma Vihari,5,20.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Pawan Suyal,3,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Thisara Perera,2,16.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0
121,Parveez Rasool,2,15.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
122,Marchant de Lange,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Gurinder Sandhu,3,12.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
124,Sean Abbott,2,12.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
125,Shardul Thakur,1,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126,Rilee Rossouw,2,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0
127,Kane Williamson,2,11.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0
128,Ronit More,2,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
129,Aaron Finch,3,10.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Rahul Tewatia,1,9.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,Azhar Mahmood,1,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Juan Theron,1,7.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
133,Jaydev Unadkat,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Rajat Bhatia,2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,Shivam Sharma,1,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,KC Cariappa,1,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
137,Ashok Dinda,2,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Shreyas Gopal,1,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
139,Aditya Tare,2,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
140,Barinder Sran,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Darren Sammy,2,4.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0
142,CM Gautam,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,Nic Maddinson,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Pragyan Ojha,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
